epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1015.35,0.6094,0.60303,0.86598,1.027,0.94823,0.95238,0.96738,0.80316,0.94823,0.95238,0.95031,0.82386,0.58705,0.77449,1.01679,1.2037,0.0008516,0.0008516,0.0008516
31,1048.85,0.54812,0.5574,0.74661,0.97957,1,0.93954,0.979,0.83396,1,0.93954,0.95507,0.8397,0.55642,0.76603,0.96711,1.19197,0.000812,0.000812,0.000812
32,1082.23,0.57407,0.6059,0.76844,1.02897,0.90582,0.95238,0.95795,0.81757,0.90582,0.95238,0.94802,0.86883,0.64049,0.67503,0.99686,1.25626,0.0007724,0.0007724,0.0007724
33,1115.56,0.51951,0.51981,0.7803,0.97379,1,0.88697,0.95065,0.81791,1,0.88697,0.95052,0.8893,0.63641,0.57891,0.92404,1.28015,0.0007328,0.0007328,0.0007328
34,1148.85,0.54003,0.63344,0.77133,1.01952,0.99602,0.90476,0.96535,0.86182,0.94286,0.85714,0.89188,0.83412,0.57779,0.88262,0.96527,1.25982,0.0006932,0.0006932,0.0006932
35,1182.01,0.51753,0.55786,0.74099,0.98462,0.99888,0.90476,0.97145,0.85157,0.94525,0.85714,0.88894,0.78938,0.58829,1.05123,0.9811,1.26266,0.0006536,0.0006536,0.0006536
36,1215.36,0.56194,0.6135,0.73512,1.01749,0.99023,0.90476,0.97807,0.84484,0.99023,0.90476,0.95269,0.81675,0.59702,0.80151,1.03357,1.23014,0.000614,0.000614,0.000614
37,1248.67,0.54778,0.54162,0.70334,1.0454,1,0.93534,0.98045,0.86448,1,0.93534,0.95507,0.83456,0.53992,0.80319,0.95957,1.18158,0.0005744,0.0005744,0.0005744
38,1282,0.4803,0.58344,0.66751,0.97287,0.9964,0.95238,0.98397,0.90014,0.9964,0.95238,0.95507,0.89652,0.4945,0.7981,0.85608,1.19266,0.0005348,0.0005348,0.0005348
39,1315.11,0.4817,0.45499,0.70704,0.98081,0.99358,0.95238,0.979,0.88252,0.99358,0.95238,0.95507,0.89211,0.48443,0.80695,0.81368,1.18856,0.0004952,0.0004952,0.0004952
40,1348.2,0.4819,0.52219,0.72902,0.95594,0.99368,0.95238,0.96667,0.85116,0.99368,0.95238,0.95507,0.89294,0.487,0.72981,0.838,1.18505,0.0004556,0.0004556,0.0004556
41,1380.15,0.46606,0.33848,0.86007,1.03472,0.99238,0.95238,0.97453,0.84398,0.99238,0.95238,0.95507,0.87353,0.50003,0.69038,0.88098,1.16249,0.000416,0.000416,0.000416
42,1412.17,0.47331,0.36337,0.7946,1.09072,0.99478,0.95238,0.9821,0.89296,0.99478,0.95238,0.95507,0.91298,0.46646,0.61005,0.88848,1.12229,0.0003764,0.0003764,0.0003764
43,1443.94,0.46876,0.33242,0.79405,1.07871,0.99525,0.95238,0.975,0.88922,0.99525,0.95238,0.95507,0.91308,0.46046,0.58937,0.86051,1.12103,0.0003368,0.0003368,0.0003368
44,1475.91,0.4203,0.31151,0.75224,1.01575,0.99439,0.95238,0.95983,0.89541,0.99439,0.95238,0.95507,0.90955,0.43362,0.55596,0.87074,1.08352,0.0002972,0.0002972,0.0002972
45,1507.84,0.42251,0.32179,0.75084,1.03499,0.99589,0.95238,0.96332,0.90905,0.99589,0.95238,0.95507,0.89764,0.40132,0.54605,0.80173,1.03784,0.0002576,0.0002576,0.0002576
46,1539.83,0.44051,0.32567,0.74213,1.04071,0.99658,0.95238,0.96403,0.90898,0.99658,0.95238,0.95507,0.89418,0.39716,0.5328,0.74063,1.04946,0.000218,0.000218,0.000218
47,1571.61,0.44627,0.31475,0.74588,1.06852,0.9969,0.95238,0.967,0.9048,0.9969,0.95238,0.95507,0.90951,0.40066,0.51436,0.72931,1.05794,0.0001784,0.0001784,0.0001784
48,1603.46,0.40138,0.29618,0.6948,1.0055,0.99701,0.95238,0.95555,0.91513,0.99701,0.95238,0.95507,0.91279,0.38696,0.51928,0.71441,1.05133,0.0001388,0.0001388,0.0001388
49,1635.26,0.37967,0.27449,0.67843,1.0002,0.99678,0.95238,0.95556,0.91357,0.99678,0.95238,0.95507,0.91572,0.39928,0.50194,0.71622,1.05273,9.92e-05,9.92e-05,9.92e-05
50,1667.21,0.40564,0.29067,0.7131,1.03744,0.99671,0.95238,0.9555,0.91512,0.99671,0.95238,0.95507,0.92334,0.4014,0.49652,0.7127,1.04811,5.96e-05,5.96e-05,5.96e-05
